,Amanita.rubescens,Amanita.sp..1,Byssocorticium.sp..2,Cenococcum.geophilum,Clavulina.cristata,Clavulina.sp..1,Cortinarius.anomalus,Cortinarius.casimiri,Cortinarius.flexipes,Cortinarius.fulvoconicus,Cortinarius.infractus,Cortinarius.nolaneiformis,Cortinarius.rubicundulus,Cortinarius.rubricosus,Cortinarius.scotoides,Cortinarius.sertipes,Craterellus.cornucopioides,Craterellus.sp..1,Cyanoboletus.pulverulentus,Elaphomyces.leucosporus,Elaphomyces.muricatus,Entoloma.bryorum,Entoloma.griseorugulosum,Entoloma.sp..1,Genea.arenaria,Genea.hispidula,Hebeloma.vaccinum,Helvella.elastica,Helvella.sp..1,Humaria.hemisphaerica,Hydnobolites.sp..1,Hydnotrya.tulasnei,Hydnum.ovoideisporum,Hydnum.repandum,Hydnum.rufescens,Hymenogaster.hessei,Hymenogaster.pruinatus,Inocybe.assimilata,Inocybe.cookei,Inocybe.glabripes,Inocybe.hirtella,Inocybe.maculata,Inocybe.minima,Inocybe.napipes,Inocybe.petiginosa,Inocybe.sp..1,Inocybe.sp..2,Inocybe.sp..3,Inocybe.sp..4,Inocybe.xanthomelas,Laccaria.amethystina,Laccaria.laccata,Laccaria.pumila,Lactarius.blennius,Lactarius.fuliginosus,Lactarius.pallidus,Lactarius.subdulcis,Lactarius.tabidus,Lactarius.volemus,Leccinum.carpini,Melanogaster.macrosporus,Melanogaster.sp.1,Meliniomyces.bicolor,Octaviania.asterosperma,Pachyphlodes.conglomerata,Pachyphlodes.melanoxantha,Pachyphlodes.nemoralis,Peziza.michelii,Peziza.sp..1,Peziza.sp..2,Peziza.sp..3,Peziza.sp..4,Peziza.succosa,Phylloporus.pelletieri,Piloderma.lanatum,Plicariella.scabrosa,Pseudotomentella.sp..1,Russula.acrifolia,Russula.amoenicolor,Russula.chloroides,Russula.delica,Russula.faustiana,Russula.fellea,Russula.foetens,Russula.ionochlora,Russula.mairei,Russula.melzeri,Russula.nigricans,Russula.ochroleuca,Russula.pectinatoides,Russula.praetervisa,Russula.puellula,Russula.risigallina,Russula.rosea,Russula.solaris,Russula.sp..1,Russula.sp..2,Russula.veternosa,Scleroderma.citrinum,Sebacina.flagelliformis,Sebacina.helvelloides,Sebacina.incrustans,Sebacina.sp..1,Sebacina.sp..2,Sistotrema.sp..1,Thelephora.sp..1,Tomentella.atroarenicolor,Tomentella.badia,Tomentella.bryophila,Tomentella.ellisii,Tomentella.galzinii,Tomentella.lapida,Tomentella.lateritia,Tomentella.lilacinogrisea,Tomentella.punicea,Tomentella.sp..1,Tomentella.sp..11,Tomentella.sp..2,Tomentella.sp..3,Tomentella.sp..4,Tomentella.sp..5,Tomentella.sp..8,Tomentella.stuposa,Tomentella.sublilacina,Tomentella.subtestacea,Tomentella.terrestris,Tomentella.viridula,Tricholoma.lascivum,Tricholoma.pardinum,Tricholoma.sciodes,Tricholoma.sulphureum,Tricholoma.ustale,Tuber.borchii,Tuber.puberulum,Tuber.scruposum.,Xerocomellus.porosporus,Xerocomellus.pruinatus,Thelephora.sp..2,Thelephora.sp..3,Tomentella.sp..7,Tomentella.sp..9,Tomentella.sp..6,Tomentella.sp..10,Sebacina.sp..3,Sebacina.sp..4,Tomentella.coerulea,Tomentella.ferruginia,Tomentella.sp..12
A04I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
A09I,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
A10I,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D02I,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,4,0,0,0,1,0,0,0,0,0,0,46,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0
D03I,0,0,0,121,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,17,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,17,0,0,0,0,23,0,0,0,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
D04I,0,0,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N01I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,138,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A07O,0,0,12,50,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A13O,0,0,0,111,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N02O,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,61,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N03O,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,58,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,4,0,0
S01O,0,0,0,154,0,14,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,49,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S23O,0,0,0,36,0,4,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13,10,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,9,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
total,0,0.00591716,0.02962963,2.782415434,0.390668721,0.070306513,0.023919753,0.101694915,0.305084746,0.004608295,0.005128205,0,0.038314176,0.025862069,0,0.033333333,0.127137201,0.01532567,0.22249561,0.046242775,0.072515056,2.162416716,0.466216216,0.1125,0.023668639,0.075605778,0.007662835,0.082802548,0.00591716,0.140229346,0.189532753,0.349108266,0.071428571,0.159340659,0.138271605,0.272189349,0.005586592,0.025280899,0.409840515,0.115934066,0,0.478293756,0,0.002808989,0.061494253,0.138655462,0.132262652,0.2875,0.006097561,0.338063826,0.188932267,0.710141639,0.041666667,0.184065934,0.695526395,0.022026432,0.904383278,0.063063063,0.008241758,0.054166667,0.041666667,0.033333333,0.225556802,0.126404494,0.35283755,0.138216561,0.609700176,0.005128205,0,0.012195122,0.044039433,0.036585366,0.267167471,0.023622047,0,0.054054054,0.112804878,0.008241758,0.137254902,0.004166667,0.092165899,0.015384615,0.195833333,0.043589744,0.100558659,0,0.177226735,0.091724739,0.051916323,0.004405286,0.031496063,0.039506173,0.013736264,0.02962963,0.105726872,0,0.107758621,0,0.145229383,0,0.118644068,0.026457969,0.637277324,0,0.356741573,0.042145594,0.052863436,0.011299435,0.01969496,0,0,0.118896339,0.37195122,0.147058824,0,1.73455164,0.017621145,0.043589744,0,0.138655462,0,0.012195122,0.216866268,0.040462428,0.219827586,0.070263942,0.250935551,0,0,0,0.082051282,0,0.05511811,0,0.031496063,0.017751479,0.16411368,0,0.057324841,0.029585799,0.03125,0.08974359,0.197802198,0.078431373,0.118644068,0.299277299,0.18902439,0
